case, score, comment
1, 5, Food is good. Room is quiet. Nurse cares me. Doctor is listening.
2, , Environment is good. Care service is very professional. Nurse checks me often.
3, 5, Doctor is nice. Nurse is good. Waiting time is short. 
4, 5, Test is fast. Nurse is nice. Food is good.
5, , Room is clean. Medicine is explained. Nurse is responsive. Pain is controlled.
6, 4, Food is OK. Like the doctor and nurse. Test is fine.
7, 4, Medicine is good. Room is good. Nurse is OK.
8, , Nurse is OK. Pain explained. Discharged info is fine.
9, 3, Doctor is OK. Food is OK. The place is fine.
10, 3, Room is OK. Nurse is fine. Food is OK.
11, , Food is cold. Medicine not clear. Test time is average long.
12, 3, Nurse is fine. Food is fine.
13, 2, Discharge process fine. Pain control is so so.
14, 2, Room is average. Doctor is average.
15, 2, Care is so so. Environment is average.
16, , Pain control is bad. Food is bad. Nurse is not nice.
17, 1, Dont like doctor and nurse. Food is bad. Room is bad. Discharge info not clear. Not a good place.
18, , Doctor is not nice. Feel pain. Food is bad.
19, 1, Waiting time is long. Nurse is not professional. Room is average.
20, , Waiting too long and care is poor. Nurse not nice. Room is bad.
