case," score"," comment"
1," Needs Improvement"," Room is average. Doctor is average."
2," Outstanding"," Food is good. Room is quiet. Nurse cares me. Doctor is listening."
3," "," Environment is good. Care service is very professional. Nurse checks me often."
4," Outstanding"," Doctor is nice. Nurse is good. Waiting time is short."
5," Unacceptable"," Waiting time is long. Nurse is not professional. Room is average."
6," "," Room is clean. Medicine is explained. Nurse is responsive. Pain is controlled."
7," Exceeds Expectations"," Medicine is good. Room is good. Nurse is OK."
8," Meets Expectations"," Doctor is OK. Food is OK. The place is fine."
9," Meets Expectations"," Room is OK. Nurse is fine. Food is OK."
10," "," Food is cold. Medicine not clear. Test time is average long."
11," Meets Expectations"," Nurse is fine. Food is fine."
12," Needs Improvement"," Discharge process fine. Pain control is so so."
13," Needs Improvement"," Care is so so. Environment is average."
14," "," Pain control is bad. Food is bad. Nurse is not nice."
15," Unacceptable"," Dont like doctor and nurse. Food is bad. Room is bad. Discharge info not clear. Not a good place."
16," Exceeds Expectations"," Food is OK. Like the doctor and nurse. Test is fine."
17," "," Doctor is not nice. Feel pain. Food is bad."
18," "," Waiting too long and care is poor. Nurse not nice. Room is bad."
19," "," Nurse is OK. Pain explained. Discharged info is fine."
20," Outstanding"," Test is fast. Nurse is nice. Food is good."
